--- When using SR data, please cite us and provide a link and/or a mention.


 
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,18,31.1,4.41,31,27,.534,4.02,58,58,57,1,3,0,16,512.2,472,256,229,68,168,7,413,21,5,10,2161,101,4.30,1.248,8.3,1.2,2.9,7.3,2.46,373
Athletics,22,30.0,4.85,28,31,.475,4.48,59,59,58,1,3,0,17,526.2,516,286,262,77,235,8,469,28,3,9,2314,102,4.69,1.426,8.8,1.3,4.0,8.0,2.00,456
Atlanta Braves,24,31.2,3.45,40,20,.667,3.16,60,60,60,0,4,0,17,535.0,421,207,188,63,197,2,530,21,2,13,2202,126,3.85,1.155,7.1,1.1,3.3,8.9,2.69,395
Baltimore Orioles,27,29.9,5.22,28,32,.467,4.63,60,60,60,0,1,0,14,532.1,537,313,274,68,222,7,474,20,1,23,2329,89,4.32,1.426,9.1,1.1,3.8,8.0,2.14,427
Boston Red Sox,22,29.5,4.07,25,33,.431,3.82,58,58,58,0,7,0,12,513.1,466,236,218,64,180,2,494,25,2,11,2170,105,3.97,1.258,8.2,1.1,3.2,8.7,2.74,399
Chicago Cubs,26,31.2,4.42,32,28,.533,4.19,60,60,60,0,3,0,10,530.1,475,265,247,82,182,4,476,19,0,18,2212,91,4.43,1.239,8.1,1.4,3.1,8.1,2.62,363
Chicago White Sox,26,28.4,4.53,32,27,.542,4.19,59,59,59,0,4,0,18,525.2,457,267,245,63,225,9,479,38,5,23,2252,103,4.30,1.297,7.8,1.1,3.9,8.2,2.13,418
Cincinnati Reds,25,28.2,4.97,30,28,.517,4.71,58,58,58,0,4,0,14,518.1,487,288,271,83,263,6,445,26,1,16,2276,93,5.11,1.447,8.5,1.4,4.6,7.7,1.69,442
Cleveland Guardians,20,27.6,4.07,34,27,.557,3.74,61,61,61,0,2,0,23,541.1,485,248,225,68,206,6,567,20,0,23,2282,111,3.87,1.276,8.1,1.1,3.4,9.4,2.75,415
Colorado Rockies,21,30.8,5.57,22,38,.367,5.39,60,60,60,0,1,0,13,526.0,593,334,315,81,196,12,430,27,2,18,2342,88,4.71,1.500,10.1,1.4,3.4,7.4,2.19,436
Detroit Tigers,22,30.3,4.37,22,38,.367,4.04,60,60,60,0,3,0,10,523.2,472,262,235,56,198,3,481,17,3,14,2218,106,3.86,1.279,8.1,1.0,3.4,8.3,2.43,390
Houston Astros,26,28.6,4.98,27,34,.443,4.92,61,61,61,0,6,0,15,536.1,480,304,293,77,287,2,502,40,2,21,2347,86,4.90,1.430,8.1,1.3,4.8,8.4,1.75,439
